"title","url","stars","name","reviewUrl","text"
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","4","Rhea Danny","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214bVpUbEtiMnRNYUZCbFVYUlFhbEJVYkdwWVZIYxAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOmxmZTlKb2tMaFBlUXRQalBUbGpYVHc%7C%7C?hl=en","The school provides an excellent balance of academics and extracurricular activities, ensuring overall student growth.
The teachers are highly supportive, creating a nurturing and motivating learning environment.
The facilities and management are well-organized, making it a truly commendable institution."
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","4","snehal kamble","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Sek0wNUtlbGh3U0ZaNWFIcHNVSEpsZGs1U1FuYxAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOmRzM05KelhwSFZ5aHpsUHJldk5SQnc%7C%7C?hl=en","Overall school is good in both educational & extracurricular activities with dedicated staff & teachers who are very knowledgeable, supportive& sincere towards students. Facilities are clean & modern, curriculum is really engaging and including dance & theatre adds to overall development of child. Also it will be very helpful for kids if the teachers continue on long term basis since they have bonded very well with the kids. Also suggest to have a swimming pool & ground of its own soon."
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","4","kartikee vaity","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21OMWNITm1kRXRhVlhwdFpVazVlRTkzTVhwd1ZuYxAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOmN1cHNmdEtaVXptZUk5eE93MXpwVnc%7C%7C?hl=en","The school is doing well overall with dedicated teachers who put sincere effort into students learning including efforts by dance and-theatre teachers which add to their overall development. However having a proper school ground, an in campus swimming pool and separate entry/exit gates would make it even better. Also it would be great if same teachers continue long term for better continuity  and bonding with students."
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","4","Omkar Sawant","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aVU1GZGlVblJoV21GRFIwRktlalZ4VkVJMFpsRRAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOnZUMFdiUnRhWmFDR0FKejVxVEI0ZlE%7C%7C?hl=en","The infrastructure is good and location is convenient from travelling perspective. School teachers are good and put lot of efforts in development of kids. The school has multiple activities for kid's progress. Overall, I have a good experience with this school."
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","4","245 Rutuja Salvi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSa2FFdExXVk5vZEd4V1kyeEhjVkkxT0VGSFNsRRAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOlRkaEtLWVNodGxWY2xHcVI1OEFHSlE%7C%7C?hl=en","Really happy with Orchids The International School. The teachers are supportive, the school uses modern teaching methods, and there’s a good balance between academics and extracurricular activities. The campus is clean and safe. Great environment for kids to learn and grow."
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","5","Parthi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkdmIwWXpMV1pOY1VoeGFXeElNR1J1TUhwRk1rRRAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOldvb0YzLWZNcUhxaWxIMGRuMHpFMkE%7C%7C?hl=en","A great school with dedicated teachers and a positive environment. It supports both academics and activities, helping students in personal growth and overall development. Well-managed and disciplined.
Highly recommend it!"
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","1","Sigma Sigma","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tORFNIY3hhekF3VTBveGJHMU9hamcyUlZKa1VtYxAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOkNDSHcxazAwU0oxbG1Oajg2RVJkUmc%7C%7C?hl=en","A Most Singular Institution of Learning: A Reflection

It is with an ineffable sense of elation and awe that I find myself compelled to extol the manifold virtues of this, the most resplendent of academic establishments I have had the honour — nay, the privilege — of attending. Rarely in the vast annals of scholastic memory has an institution so thoroughly enraptured my intellect and spirit.

Of particular note is the inimitable Ms. Asher, whose pedagogical prowess defies the natural constraints of time and logic. Through what can only be described as a pedagogical miracle, she succeeded in imparting to me the entirety of the French curriculum — not in a semester, nor in a month, but within a mere two days during my tenure in the seventh standard. Her methods, inscrutable and divine, would surely confound even the most seasoned linguists of the Académie Française.

The school grounds themselves are of a magnitude so vast and regal that mere mortals may find themselves humbled in their presence. Chief among these is the football field — a verdant expanse of such monumental proportions that it rivals the breadth of the cosmos and, indeed, reflects the voluminous grandeur of my own impeccably executed low taper fade (as can be appreciated in the image attached).

In conclusion, I am profoundly and irrevocably grateful — no, indebted — to be enveloped within the educational embrace of such an institution. It is not merely a school; it is an experience, a sanctuary, a cathedral of knowledge where dreams are not just nurtured, but catapulted into the firmament.

Verily, one star could scarcely contain the brilliance of this beacon of enlightenment."
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","4","Reshmi Kithani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s0eWJXbHJjMHd3UTFwcmN6SnpkRE5KTkVScmVYYxAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOk4ybWlrc0wwQ1prczJzdDNJNERreXc%7C%7C?hl=en","Nice school. Lots of activities so that children get engaged . Teachers are co- operative, curriculum is awesome. My both children have improved and have lots of fun here"
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","1","Reyaa pote","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25acU1Ya3RMV04zT0VsS01qaERZUzF1U1dacFQzYxAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOnZqMXktLWN3OElKMjhDYS1uSWZpT3c%7C%7C?hl=en","Only a positive review for a drama/theatre/dance teachers(Trupti/ Shivani)
they have strong relationships with their students by being warm, available & kind
They are very supportive and engaging learning environment and helping good impact on student growth.

But about school poor management need to improve at any cost its high time now"
"Orchids the international school","https://www.google.com/maps/search/?api=1&query=Orchids%20the%20international%20school&query_place_id=ChIJ1wsyOLm55zsRVj45cCro9qI","5","Jagiprasad Yadav","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCSlVEUlFkWFZqTFhjelRXazNMWFJZT0VaQ1VrRRAB!2m1!1s0x0:0xa2f6e82a70393e56!3m1!1s2@1:CAIQACodChtycF9oOlBJUDRQdXVjLXczTWk3LXRYOEZCUkE%7C%7C?hl=en","It is really wonderful experience with orchid international mulund school. My baby is in K1 and I could see the level of support and education given at the centre is really helpful for my child specially the curriculum is nicely draft for pre primary level students."
